date,diameter_ms,diameter,num_edges,num_vertices,radius_ms,radius,max_k_core,max_k_core_size,average_endpoint_distance,average_endpoint_distance_ms,time_interval,0-distance,1-distance,2-distance,3-distance,4-distance,5-distance,6-distance,7-distance,8-distance,9-distance,10-distance,11-distance,12-distance,13-distance,14-distance,15-distance,16-distance,17-distance,18-distance,19-distance,20-distance,21-distance,22-distance,23-distance,24-distance,25-distance,26-distance,27-distance,28-distance,29-distance,30-distance,31-distance,32-distance,33-distance,34-distance,35-distance,36-distance,37-distance,38-distance,39-distance,40-distance,41-distance,42-distance,43-distance,44-distance,45-distance,46-distance,47-distance,48-distance,49-distance,50-distance,51-distance,52-distance,53-distance,54-distance,55-distance,56-distance,57-distance,58-distance,59-distance,60-distance,61-distance,62-distance,63-distance,64-distance,1-core,2-core,3-core,4-core,5-core,6-core,7-core,8-core,9-core,10-core,11-core,12-core,13-core,14-core,15-core,16-core,17-core,18-core,19-core,20-core,21-core,22-core,23-core,24-core,25-core,26-core,27-core,28-core,29-core,30-core,31-core,32-core,33-core,34-core,35-core,36-core,37-core,38-core,39-core,40-core,41-core,42-core,43-core,44-core,45-core,46-core,47-core,48-core,49-core,50-core,51-core,52-core,53-core,54-core,55-core,56-core,57-core,58-core,59-core,60-core,61-core,62-core,63-core,64-core,65-core,66-core,67-core,68-core,69-core,70-core,71-core,72-core,73-core,74-core,75-core,76-core,77-core,78-core,79-core,80-core,81-core,82-core,83-core,84-core,85-core,86-core,87-core,88-core,89-core,90-core,91-core,92-core,93-core,94-core,95-core,96-core,97-core,98-core,99-core
2009-01-01,0.0,0,38045,21743,2408.1655,36,16,82,0,3.9100853888915177,YEAR,1,1,6,1,8,78,371,832,1115,1736,1831,2154,2953,2141,1923,1556,1304,994,694,561,427,358,212,148,109,77,58,40,27,14,8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11040,6565,1609,911,576,218,209,306,57,78,6,27,8,47,4,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0.0,0,81993,39736,4868.833,30,18,53,0,4.19577531103002,YEAR,1,1,5,4,13,101,581,2253,2145,3903,3826,3845,5215,3717,3301,2814,2252,1508,1145,758,664,506,395,275,178,142,98,43,23,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12252,17026,4630,2265,1158,609,484,485,187,121,138,62,71,64,41,30,60,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0.0,0,124327,54761,4970.84,33,22,39,0,5.29003881330275,YEAR,1,1,4,5,15,189,858,3797,3370,4615,4792,5125,6703,4556,3898,3558,3066,2457,2106,1786,1367,999,645,415,188,114,72,29,12,6,7,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13770,24342,6854,3561,1816,1152,836,644,623,317,262,123,178,25,34,113,28,6,0,3,35,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0.0,0,149918,64400,4942.672,34,24,34,0,5.768809241044166,YEAR,1,16,10,20,294,862,3148,3888,4781,5496,5838,6248,8994,5764,4965,3785,2908,2451,1569,1155,805,529,379,206,97,73,42,28,24,12,7,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15449,28714,7971,4628,2304,1620,1054,651,501,233,363,216,100,191,78,142,102,5,0,1,1,40,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,0.0,0,162769,69186,5374.708,34,31,90,0,5.5650566012179485,YEAR,1,33,8,32,328,3573,4404,5418,6783,7197,6566,9984,6301,4882,4364,3549,2174,1353,760,571,346,167,151,88,63,39,22,13,5,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17002,30864,8322,4812,2469,1692,1182,827,455,289,268,319,79,132,62,124,30,29,2,6,3,4,51,4,4,60,0,2,3,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,0.0,0,173011,67970,4305.124,40,43,99,0,5.624795999654299,YEAR,1,29,24,213,212,4588,4361,5436,6869,7480,7357,7315,4801,4606,4479,3732,2428,1471,863,519,287,220,161,138,127,109,55,43,34,8,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16826,26864,9006,6766,2455,1759,1098,891,554,435,126,378,73,33,52,72,96,14,44,15,65,45,22,7,4,20,3,2,6,6,2,3,8,3,10,28,5,7,9,12,22,25,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,0.0,0,134673,54742,4296.5905,36,52,125,0,5.809885304211836,YEAR,1,48,35,273,190,4405,3665,4047,4828,5106,5748,5401,4191,3803,3180,3069,2208,1551,1019,669,367,238,162,106,113,117,89,55,26,16,7,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16291,20874,7080,4734,1740,984,543,509,374,258,276,283,93,70,38,59,37,18,33,41,27,18,13,53,51,10,1,9,8,26,6,6,6,2,2,5,1,3,2,2,2,0,4,7,1,1,3,6,2,5,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,0.0,0,174886,57036,5117.2255,58,61,164,0,5.440426104875168,YEAR,1,38,129,503,719,5227,3605,3769,4151,5968,5298,4776,5006,4555,3245,2582,2263,1650,1098,773,585,346,238,159,107,61,54,49,43,12,9,5,4,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,15162,22596,7023,4514,2010,1372,745,456,502,384,301,277,215,161,51,87,44,49,43,19,15,29,51,36,42,21,34,20,41,21,39,19,35,16,22,14,33,30,22,28,12,15,10,15,13,23,10,64,5,93,4,4,1,2,4,3,4,5,3,3,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,0.0,0,118460,47322,4837.789,32,50,160,1,9.524677204165876,YEAR,1,30,337,248,788,2712,4427,3006,3952,4334,4654,4162,3522,2943,2540,2292,2033,1999,1138,881,458,383,166,123,77,40,32,14,8,10,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15511,19683,5188,2534,1022,696,517,444,229,217,77,87,93,49,36,48,86,21,43,60,42,47,28,22,30,23,29,36,17,86,37,12,78,0,3,1,12,0,3,1,0,0,1,2,1,0,1,7,2,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,0.0,0,138226,64862,4980.802,59,41,148,1,12.798455047285087,YEAR,1,1,414,24,605,994,2999,4248,6096,4573,5116,5185,5440,6799,3837,3669,3852,3619,2837,1947,1217,585,349,166,78,57,28,24,27,15,12,10,5,1,0,2,1,3,0,2,1,2,1,0,1,2,1,2,1,1,0,1,2,2,0,2,2,0,1,2,0,0,0,0,0,22647,26204,7291,3778,1515,879,489,431,462,233,128,44,212,31,102,30,24,80,5,3,25,4,66,1,0,4,3,1,2,5,0,1,1,2,0,1,3,1,4,2,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01,0.0,0,118700,62757,5160.9515,58,23,135,1,12.723663470724887,YEAR,1,1,332,26,536,804,2319,3971,6237,4592,5033,4900,5956,7841,4577,2896,2575,2912,2901,2029,1235,513,225,146,78,49,22,12,6,3,1,1,2,1,0,1,2,1,3,1,1,0,1,3,2,0,0,0,2,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,21506,28098,6224,3314,1362,798,372,381,253,101,54,81,30,11,3,4,5,4,5,5,6,5,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
